sku_id,category,supplier_country,lead_time_days,unit_cost_usd,holding_cost_pct,stockout_cost_usd,reorder_quantity,disruption_sensitivity
SKU-0270,Chemicals,Brazil,32,138.97,0.0447,333.19,437,Medium
SKU-0271,Chemicals,Thailand,60,160.02,0.0252,561.3,229,High
SKU-0272,Chemicals,China,41,92.48,0.022,192.12,110,High
SKU-0273,Chemicals,Brazil,40,103.52,0.0294,364.23,247,Medium
SKU-0274,Chemicals,China,45,138.94,0.0265,536.14,342,High
SKU-0275,Chemicals,China,38,199.13,0.0217,813.47,492,High
SKU-0276,Chemicals,China,44,54.18,0.0236,157.65,95,High
SKU-0277,Chemicals,South Korea,30,199.44,0.0444,766.98,187,Medium
SKU-0278,Chemicals,South Korea,24,119.6,0.0328,286.1,448,Medium
SKU-0279,Chemicals,Germany,18,100.4,0.0448,421.76,396,Medium
SKU-0280,Chemicals,China,33,100.75,0.0344,207.3,166,High
SKU-0281,Chemicals,India,41,66.58,0.0204,181.34,489,High
SKU-0282,Chemicals,Taiwan,23,193.13,0.0346,449.84,296,High
SKU-0283,Chemicals,Germany,15,85.19,0.0421,292.04,219,Medium
SKU-0284,Chemicals,Germany,20,108.11,0.0436,505.55,479,Medium
SKU-0285,Chemicals,India,53,104.39,0.0276,472.12,67,High
SKU-0286,Chemicals,Mexico,9,108.45,0.0391,431.42,452,Medium
SKU-0287,Chemicals,South Korea,25,118.13,0.0245,497.6,280,Medium
SKU-0288,Chemicals,South Korea,31,37.08,0.0225,153.84,82,Medium
SKU-0289,Chemicals,China,36,80.41,0.0305,347.69,347,High
SKU-0290,Chemicals,China,57,59.6,0.023,237.26,393,High
SKU-0291,Chemicals,China,51,94.93,0.0262,224.43,326,High
SKU-0292,Chemicals,India,55,139.46,0.0359,296.47,485,High
SKU-0293,Chemicals,India,57,157.17,0.0444,623.88,107,High
SKU-0294,Chemicals,China,62,187.77,0.0267,585.19,244,High
SKU-0295,Chemicals,Germany,23,70.92,0.0236,183.85,449,Medium
SKU-0296,Chemicals,South Korea,31,78.6,0.0445,360.31,430,Medium
SKU-0297,Chemicals,Mexico,17,108.29,0.0453,453.24,399,Medium
SKU-0298,Chemicals,South Korea,24,60.16,0.0364,298.03,471,Medium
SKU-0299,Chemicals,China,44,153.42,0.0445,405.11,277,High
SKU-0300,Chemicals,Taiwan,31,154.58,0.0363,582.93,278,High
SKU-0301,Chemicals,China,63,178.46,0.0391,764.41,122,High
SKU-0302,Chemicals,Germany,24,31.59,0.0274,132.03,496,Medium
SKU-0303,Chemicals,China,57,64.69,0.0367,271.65,327,High
SKU-0304,Chemicals,China,40,90.42,0.0435,331.18,52,High
SKU-0305,Chemicals,India,22,55.31,0.0292,256.08,498,High
SKU-0306,Chemicals,Germany,15,106.26,0.0417,495.02,316,Medium
SKU-0307,Chemicals,Germany,29,30.55,0.0386,93.68,407,Medium
SKU-0308,Chemicals,China,37,129.99,0.0344,510.47,79,High
SKU-0309,Chemicals,Japan,41,132.59,0.0403,585.38,171,Medium
SKU-0310,Chemicals,Taiwan,47,114.7,0.0223,249.55,200,High
SKU-0311,Chemicals,India,51,117.94,0.0332,288.05,197,High
SKU-0312,Chemicals,Germany,24,45.06,0.0266,170.99,381,Medium
SKU-0313,Chemicals,Turkey,26,101.61,0.0391,442.71,103,Medium
SKU-0314,Chemicals,Germany,23,172.77,0.0315,641.95,314,Medium
SKU-0315,Chemicals,China,30,34.45,0.0207,154.86,172,High
SKU-0316,Chemicals,Japan,19,80.78,0.0482,224.4,243,Medium
SKU-0317,Chemicals,Vietnam,38,166.45,0.0337,574.07,110,High
SKU-0318,Chemicals,China,49,153.75,0.0349,509.0,378,High
SKU-0319,Chemicals,India,44,53.01,0.0425,210.5,480,High
SKU-0320,Chemicals,China,34,39.7,0.0285,110.57,161,High
SKU-0321,Metals,Mexico,10,199.47,0.0335,863.73,79,Medium
SKU-0322,Metals,Germany,16,47.06,0.0219,222.09,112,Medium
SKU-0323,Metals,Japan,15,228.97,0.0207,913.9,483,Medium
SKU-0324,Metals,Japan,20,236.73,0.0216,770.88,167,Medium
SKU-0325,Metals,India,26,158.72,0.0339,780.27,323,High
SKU-0326,Metals,China,50,63.96,0.0245,171.15,162,High
SKU-0327,Metals,Vietnam,52,64.1,0.0458,267.2,80,High
SKU-0328,Metals,South Korea,48,154.14,0.0225,520.21,268,Medium
SKU-0329,Metals,China,40,126.47,0.0395,459.88,78,High
SKU-0330,Metals,Japan,42,209.34,0.0338,451.31,403,Medium
SKU-0331,Metals,China,37,109.35,0.0427,389.08,142,High
SKU-0332,Metals,Vietnam,36,224.71,0.0461,610.4,253,High
SKU-0333,Metals,Turkey,24,230.94,0.0362,806.77,97,Medium
SKU-0334,Metals,South Korea,24,212.64,0.0314,920.06,484,Medium
SKU-0335,Metals,China,26,206.5,0.0373,806.12,409,High
SKU-0336,Metals,Germany,22,232.17,0.036,574.36,363,Medium
SKU-0337,Metals,India,50,230.29,0.0283,1140.07,113,High
SKU-0338,Metals,China,40,78.69,0.0468,311.84,118,High
SKU-0339,Metals,Germany,17,225.31,0.0441,792.1,485,Medium
SKU-0340,Metals,Germany,22,246.66,0.04,962.96,124,Medium
SKU-0341,Metals,Vietnam,30,42.65,0.0368,152.78,373,High
SKU-0342,Metals,Mexico,12,56.68,0.0419,145.23,436,Medium
SKU-0343,Metals,Taiwan,46,106.01,0.0341,473.33,256,High
SKU-0344,Metals,Germany,22,143.78,0.0448,432.15,128,Medium
SKU-0345,Metals,South Korea,26,113.07,0.0335,480.15,343,Medium
SKU-0346,Metals,South Korea,27,114.0,0.0452,389.18,490,Medium
SKU-0347,Metals,South Korea,32,108.27,0.0406,239.16,128,Medium
SKU-0348,Metals,Vietnam,34,87.71,0.0451,248.91,339,High
SKU-0349,Metals,South Korea,16,84.66,0.021,246.52,343,Medium
SKU-0350,Metals,Thailand,39,222.95,0.043,973.25,349,High
SKU-0351,Metals,China,47,157.69,0.0233,526.87,257,High
SKU-0352,Metals,Vietnam,48,154.8,0.0314,763.23,99,High
SKU-0353,Metals,Germany,19,220.25,0.0288,1042.29,389,Medium
SKU-0354,Metals,Taiwan,35,43.78,0.0489,183.0,187,High
SKU-0355,Metals,Taiwan,37,63.64,0.0411,230.51,93,High
SKU-0356,Metals,China,41,42.6,0.0341,123.7,319,High
SKU-0357,Metals,China,55,50.11,0.0471,228.34,350,High
SKU-0358,Metals,Japan,21,227.38,0.0256,508.63,157,Medium
SKU-0359,Metals,India,40,249.04,0.0457,887.66,78,High
SKU-0360,Metals,Taiwan,28,165.79,0.0234,378.26,459,High
SKU-0361,Metals,South Korea,34,130.39,0.0295,430.78,398,Medium
SKU-0362,Metals,Japan,46,227.43,0.0333,869.07,334,Medium
SKU-0363,Metals,Japan,20,147.6,0.0231,465.46,269,Medium
SKU-0364,Metals,South Korea,35,239.61,0.038,1013.74,277,Medium
SKU-0365,Metals,South Korea,29,115.99,0.0342,247.86,113,Medium
SKU-0366,Metals,China,43,244.02,0.0299,840.92,138,High
SKU-0367,Metals,Japan,21,148.48,0.0202,300.37,148,Medium
SKU-0368,Metals,China,38,62.69,0.0302,276.32,307,High
SKU-0369,Metals,Japan,30,123.37,0.0226,475.12,101,Medium
SKU-0370,Metals,China,43,146.56,0.0462,510.12,366,High
SKU-0371,Metals,Turkey,22,122.86,0.0327,397.21,458,Medium
SKU-0372,Metals,South Korea,25,167.66,0.0293,749.67,479,Medium
SKU-0373,Metals,Taiwan,33,184.18,0.0234,580.45,255,High
SKU-0374,Metals,Germany,17,65.42,0.0326,278.27,81,Medium
SKU-0375,Metals,China,50,180.4,0.0404,556.67,317,High
SKU-0376,Metals,China,43,173.58,0.0474,666.15,443,High
