year,reporter_code,reporter_name,partner_code,partner_name,hs_code,commodity_name,trade_value_usd,net_weight_kg,flow_type
2018,156,China,276,Germany,1001,Wheat and meslin,1444819287.31,3026589.61,Export
2019,156,China,643,Russian Federation,1001,Wheat and meslin,967511171.71,4704957.9,Import
2019,156,China,842,USA,1001,Wheat and meslin,1199323789.0,1207345.96,Export
2020,156,China,0,World,1001,Wheat and meslin,1263307528.15,1095973.12,Import
2020,156,China,156,China,1001,Wheat and meslin,1307263377.65,3803263.74,Export
2021,156,China,842,USA,1001,Wheat and meslin,1225810484.78,5809415.0,Import
2021,156,China,0,World,1001,Wheat and meslin,944359733.86,3426691.32,Export
2022,156,China,392,Japan,1001,Wheat and meslin,910051575.5,2591291.61,Import
2022,156,China,276,Germany,1001,Wheat and meslin,1298470920.11,5174904.87,Export
2023,156,China,804,Ukraine,1001,Wheat and meslin,1226013803.93,1335437.49,Import
2023,156,China,392,Japan,1001,Wheat and meslin,1265289998.53,5393391.24,Export
2024,156,China,156,China,1001,Wheat and meslin,1355932322.72,3002468.81,Import
2024,156,China,0,World,1001,Wheat and meslin,1329752694.48,4830343.57,Export
2018,699,India,156,China,1001,Wheat and meslin,352237515.71,130253.11,Import
2018,699,India,276,Germany,1001,Wheat and meslin,435545681.46,1156887.58,Export
2019,699,India,156,China,1001,Wheat and meslin,535221595.69,1833565.85,Import
2019,699,India,0,World,1001,Wheat and meslin,340053936.42,912993.02,Export
2020,699,India,643,Russian Federation,1001,Wheat and meslin,416019357.34,1869598.62,Import
2020,699,India,0,World,1001,Wheat and meslin,283083313.64,831993.34,Export
2021,699,India,0,World,1001,Wheat and meslin,393167118.11,1787235.71,Import
2021,699,India,643,Russian Federation,1001,Wheat and meslin,488025079.03,1721246.91,Export
2022,699,India,643,Russian Federation,1001,Wheat and meslin,251161838.67,1131892.07,Import
2022,699,India,156,China,1001,Wheat and meslin,433922081.7,1024610.47,Export
2023,699,India,0,World,1001,Wheat and meslin,555689824.22,2227042.13,Import
2023,699,India,804,Ukraine,1001,Wheat and meslin,435020963.52,1297026.92,Export
2024,699,India,276,Germany,1001,Wheat and meslin,422047205.39,2060091.0,Import
2024,699,India,156,China,1001,Wheat and meslin,533094827.15,1770605.36,Export
2018,410,South Korea,392,Japan,1001,Wheat and meslin,421778144.68,2086578.26,Import
2018,410,South Korea,0,World,1001,Wheat and meslin,407415309.35,197559.59,Export
2019,410,South Korea,643,Russian Federation,1001,Wheat and meslin,370645742.54,1379045.83,Import
2019,410,South Korea,804,Ukraine,1001,Wheat and meslin,390652083.31,759184.91,Export
2020,410,South Korea,842,USA,1001,Wheat and meslin,402655140.04,873420.82,Import
2020,410,South Korea,0,World,1001,Wheat and meslin,313043926.59,1535083.02,Export
2021,410,South Korea,156,China,1001,Wheat and meslin,498115497.78,1679802.46,Import
2021,410,South Korea,804,Ukraine,1001,Wheat and meslin,489678115.2,1598322.66,Export
2022,410,South Korea,804,Ukraine,1001,Wheat and meslin,398703097.37,1924204.73,Import
2022,410,South Korea,276,Germany,1001,Wheat and meslin,512418599.2,1733225.09,Export
2023,410,South Korea,276,Germany,1001,Wheat and meslin,513797756.51,888560.83,Import
2023,410,South Korea,842,USA,1001,Wheat and meslin,676260521.55,1245551.6,Export
2024,410,South Korea,804,Ukraine,1001,Wheat and meslin,634486177.46,2967803.65,Import
2024,410,South Korea,156,China,1001,Wheat and meslin,543514740.99,2557727.76,Export
2018,842,USA,156,China,1512,"Sunflower-seed, safflower oil",525648980.72,2478317.03,Import
2018,842,USA,392,Japan,1512,"Sunflower-seed, safflower oil",646604040.69,2067803.46,Export
2019,842,USA,276,Germany,1512,"Sunflower-seed, safflower oil",662875820.55,1937345.85,Import
2019,842,USA,156,China,1512,"Sunflower-seed, safflower oil",581466250.73,1350809.73,Export
2020,842,USA,392,Japan,1512,"Sunflower-seed, safflower oil",379107471.57,331315.55,Import
2020,842,USA,0,World,1512,"Sunflower-seed, safflower oil",530653013.37,566129.65,Export
2021,842,USA,156,China,1512,"Sunflower-seed, safflower oil",706306620.75,1422861.49,Import
2021,842,USA,392,Japan,1512,"Sunflower-seed, safflower oil",541657099.02,1321023.82,Export
2022,842,USA,0,World,1512,"Sunflower-seed, safflower oil",433572059.12,2061510.77,Import
2022,842,USA,804,Ukraine,1512,"Sunflower-seed, safflower oil",603120929.2,2128481.81,Export
2023,842,USA,804,Ukraine,1512,"Sunflower-seed, safflower oil",676859544.21,2183819.17,Import
2023,842,USA,276,Germany,1512,"Sunflower-seed, safflower oil",592757805.74,436427.92,Export
2024,842,USA,842,USA,1512,"Sunflower-seed, safflower oil",513729245.67,2560911.3,Import
2024,842,USA,643,Russian Federation,1512,"Sunflower-seed, safflower oil",726987776.23,3419698.59,Export
2018,276,Germany,804,Ukraine,1512,"Sunflower-seed, safflower oil",316530036.92,191716.1,Import
2018,276,Germany,276,Germany,1512,"Sunflower-seed, safflower oil",280386343.14,846062.85,Export
2019,276,Germany,392,Japan,1512,"Sunflower-seed, safflower oil",286453145.39,250534.96,Import
2019,276,Germany,276,Germany,1512,"Sunflower-seed, safflower oil",378186798.14,86177.3,Export
2020,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",251853468.28,597689.26,Import
2020,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",198245432.02,190097.52,Export
2021,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",308273033.78,1496474.39,Import
2021,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",330369220.39,1418900.47,Export
2022,276,Germany,643,Russian Federation,1512,"Sunflower-seed, safflower oil",212894361.48,715620.71,Import
2022,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",527300809.21,809873.86,Export
2023,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",410891906.31,876710.2,Import
2023,276,Germany,804,Ukraine,1512,"Sunflower-seed, safflower oil",370698893.72,463618.09,Export
2024,276,Germany,156,China,1512,"Sunflower-seed, safflower oil",285660783.0,1086945.93,Import
2024,276,Germany,842,USA,1512,"Sunflower-seed, safflower oil",324179975.45,400932.09,Export
2018,392,Japan,156,China,1512,"Sunflower-seed, safflower oil",312486819.52,123096.59,Import
2018,392,Japan,842,USA,1512,"Sunflower-seed, safflower oil",387268475.54,1557053.79,Export
2019,392,Japan,804,Ukraine,1512,"Sunflower-seed, safflower oil",442710382.04,1270875.65,Import
2019,392,Japan,276,Germany,1512,"Sunflower-seed, safflower oil",344575862.6,1570773.51,Export
2020,392,Japan,804,Ukraine,1512,"Sunflower-seed, safflower oil",282773025.19,570974.81,Import
2020,392,Japan,842,USA,1512,"Sunflower-seed, safflower oil",288790301.02,779059.38,Export
2021,392,Japan,392,Japan,1512,"Sunflower-seed, safflower oil",361556816.97,1120835.37,Import
2021,392,Japan,276,Germany,1512,"Sunflower-seed, safflower oil",478265899.7,1945790.95,Export
2022,392,Japan,0,World,1512,"Sunflower-seed, safflower oil",184936067.18,336369.2,Import
2022,392,Japan,842,USA,1512,"Sunflower-seed, safflower oil",528357322.06,498815.54,Export
2023,392,Japan,804,Ukraine,1512,"Sunflower-seed, safflower oil",296271079.91,1253001.15,Import
2023,392,Japan,804,Ukraine,1512,"Sunflower-seed, safflower oil",500001821.95,2447088.23,Export
2024,392,Japan,392,Japan,1512,"Sunflower-seed, safflower oil",463542252.06,1201426.91,Import
2024,392,Japan,276,Germany,1512,"Sunflower-seed, safflower oil",437737069.17,1227562.45,Export
2018,156,China,643,Russian Federation,1512,"Sunflower-seed, safflower oil",646871844.83,2019590.56,Import
2018,156,China,842,USA,1512,"Sunflower-seed, safflower oil",448216476.99,300808.44,Export
2019,156,China,0,World,1512,"Sunflower-seed, safflower oil",578668652.95,282424.55,Import
2019,156,China,276,Germany,1512,"Sunflower-seed, safflower oil",546631162.64,120534.47,Export
2020,156,China,842,USA,1512,"Sunflower-seed, safflower oil",439249430.53,1064336.84,Import
2020,156,China,842,USA,1512,"Sunflower-seed, safflower oil",587049129.18,1631428.32,Export
2021,156,China,842,USA,1512,"Sunflower-seed, safflower oil",644013418.99,2687653.12,Import
2021,156,China,156,China,1512,"Sunflower-seed, safflower oil",723744395.33,3007562.83,Export
2022,156,China,392,Japan,1512,"Sunflower-seed, safflower oil",457490342.12,878588.09,Import
2022,156,China,0,World,1512,"Sunflower-seed, safflower oil",904966271.74,4243064.32,Export
2023,156,China,0,World,1512,"Sunflower-seed, safflower oil",758327199.23,218478.85,Import
2023,156,China,0,World,1512,"Sunflower-seed, safflower oil",657909105.44,2103682.86,Export
2024,156,China,0,World,1512,"Sunflower-seed, safflower oil",499129141.68,1115193.7,Import
2024,156,China,276,Germany,1512,"Sunflower-seed, safflower oil",821382247.47,688163.75,Export
2018,699,India,392,Japan,1512,"Sunflower-seed, safflower oil",143306044.39,50755.07,Import
2018,699,India,0,World,1512,"Sunflower-seed, safflower oil",236919773.33,590708.8,Export
2019,699,India,276,Germany,1512,"Sunflower-seed, safflower oil",263433001.46,721873.58,Import
2019,699,India,392,Japan,1512,"Sunflower-seed, safflower oil",181678331.7,279913.54,Export
2020,699,India,392,Japan,1512,"Sunflower-seed, safflower oil",168065231.81,488932.97,Import
2020,699,India,276,Germany,1512,"Sunflower-seed, safflower oil",167665122.85,67352.11,Export
2021,699,India,276,Germany,1512,"Sunflower-seed, safflower oil",192486311.01,441753.27,Import
2021,699,India,804,Ukraine,1512,"Sunflower-seed, safflower oil",202990260.63,419251.04,Export
2022,699,India,392,Japan,1512,"Sunflower-seed, safflower oil",117731412.42,153107.38,Import
2022,699,India,842,USA,1512,"Sunflower-seed, safflower oil",348183831.4,594702.65,Export
2023,699,India,842,USA,1512,"Sunflower-seed, safflower oil",175692414.1,540036.37,Import
2023,699,India,0,World,1512,"Sunflower-seed, safflower oil",283916108.34,1317555.49,Export
2024,699,India,804,Ukraine,1512,"Sunflower-seed, safflower oil",250015604.79,654848.57,Import
2024,699,India,804,Ukraine,1512,"Sunflower-seed, safflower oil",288056528.97,35577.7,Export
2018,410,South Korea,643,Russian Federation,1512,"Sunflower-seed, safflower oil",198381270.32,110047.41,Import
2018,410,South Korea,804,Ukraine,1512,"Sunflower-seed, safflower oil",310784885.78,1405397.63,Export
2019,410,South Korea,276,Germany,1512,"Sunflower-seed, safflower oil",228446678.92,870751.19,Import
2019,410,South Korea,156,China,1512,"Sunflower-seed, safflower oil",240338490.52,456758.49,Export
2020,410,South Korea,392,Japan,1512,"Sunflower-seed, safflower oil",222312874.11,1055032.74,Import
2020,410,South Korea,156,China,1512,"Sunflower-seed, safflower oil",210586839.56,759176.43,Export
2021,410,South Korea,156,China,1512,"Sunflower-seed, safflower oil",234268797.08,804114.62,Import
2021,410,South Korea,156,China,1512,"Sunflower-seed, safflower oil",227809715.69,684158.5,Export
2022,410,South Korea,392,Japan,1512,"Sunflower-seed, safflower oil",212542198.41,997730.58,Import
2022,410,South Korea,842,USA,1512,"Sunflower-seed, safflower oil",395971567.17,1967085.28,Export
2023,410,South Korea,0,World,1512,"Sunflower-seed, safflower oil",289320895.93,671424.38,Import
2023,410,South Korea,0,World,1512,"Sunflower-seed, safflower oil",352329631.62,70939.87,Export
2024,410,South Korea,392,Japan,1512,"Sunflower-seed, safflower oil",274949078.06,836399.01,Import
2024,410,South Korea,392,Japan,1512,"Sunflower-seed, safflower oil",226762174.24,360361.33,Export
2018,842,USA,276,Germany,2814,"Ammonia, anhydrous or solution",313638493.34,369424.05,Import
2018,842,USA,804,Ukraine,2814,"Ammonia, anhydrous or solution",327009324.3,1240115.72,Export
2019,842,USA,0,World,2814,"Ammonia, anhydrous or solution",285984067.54,219702.07,Import
2019,842,USA,276,Germany,2814,"Ammonia, anhydrous or solution",379430205.78,1589877.71,Export
2020,842,USA,0,World,2814,"Ammonia, anhydrous or solution",297350709.58,276573.19,Import
2020,842,USA,643,Russian Federation,2814,"Ammonia, anhydrous or solution",201509481.12,281418.54,Export
2021,842,USA,0,World,2814,"Ammonia, anhydrous or solution",299448213.7,739890.15,Import
2021,842,USA,643,Russian Federation,2814,"Ammonia, anhydrous or solution",301610819.18,1359271.65,Export
2022,842,USA,276,Germany,2814,"Ammonia, anhydrous or solution",144041538.46,466201.89,Import
2022,842,USA,643,Russian Federation,2814,"Ammonia, anhydrous or solution",393204771.43,459386.74,Export
2023,842,USA,392,Japan,2814,"Ammonia, anhydrous or solution",268374214.47,139302.12,Import
2023,842,USA,804,Ukraine,2814,"Ammonia, anhydrous or solution",339537467.8,192450.71,Export
2024,842,USA,0,World,2814,"Ammonia, anhydrous or solution",458707422.33,671387.42,Import
2024,842,USA,804,Ukraine,2814,"Ammonia, anhydrous or solution",394717088.58,696880.78,Export
2018,276,Germany,0,World,2814,"Ammonia, anhydrous or solution",141420001.63,417006.08,Import
2018,276,Germany,842,USA,2814,"Ammonia, anhydrous or solution",164279814.19,186079.95,Export
2019,276,Germany,392,Japan,2814,"Ammonia, anhydrous or solution",131706704.11,259985.49,Import
2019,276,Germany,804,Ukraine,2814,"Ammonia, anhydrous or solution",137713870.96,34321.21,Export
2020,276,Germany,392,Japan,2814,"Ammonia, anhydrous or solution",152307522.89,566599.34,Import
2020,276,Germany,0,World,2814,"Ammonia, anhydrous or solution",189048952.51,546906.97,Export
2021,276,Germany,643,Russian Federation,2814,"Ammonia, anhydrous or solution",240424482.5,965586.65,Import
2021,276,Germany,804,Ukraine,2814,"Ammonia, anhydrous or solution",183479044.41,63161.63,Export
2022,276,Germany,842,USA,2814,"Ammonia, anhydrous or solution",156052707.89,773700.77,Import
2022,276,Germany,156,China,2814,"Ammonia, anhydrous or solution",314290652.96,1291324.76,Export
2023,276,Germany,276,Germany,2814,"Ammonia, anhydrous or solution",239278392.57,219603.41,Import
2023,276,Germany,842,USA,2814,"Ammonia, anhydrous or solution",201050685.89,461570.74,Export
2024,276,Germany,392,Japan,2814,"Ammonia, anhydrous or solution",157933187.82,277825.35,Import
2024,276,Germany,392,Japan,2814,"Ammonia, anhydrous or solution",193948835.74,515835.89,Export
2018,392,Japan,0,World,2814,"Ammonia, anhydrous or solution",223077656.83,989435.2,Import
2018,392,Japan,842,USA,2814,"Ammonia, anhydrous or solution",179603879.89,305186.82,Export
2019,392,Japan,276,Germany,2814,"Ammonia, anhydrous or solution",237998971.71,256582.55,Import
2019,392,Japan,804,Ukraine,2814,"Ammonia, anhydrous or solution",227255734.41,757398.94,Export
2020,392,Japan,156,China,2814,"Ammonia, anhydrous or solution",148437246.18,401132.1,Import
2020,392,Japan,804,Ukraine,2814,"Ammonia, anhydrous or solution",224028014.33,217891.44,Export
2021,392,Japan,0,World,2814,"Ammonia, anhydrous or solution",175160005.1,56258.12,Import
2021,392,Japan,804,Ukraine,2814,"Ammonia, anhydrous or solution",219646883.07,187513.6,Export
2022,392,Japan,643,Russian Federation,2814,"Ammonia, anhydrous or solution",107704860.33,535273.93,Import
2022,392,Japan,643,Russian Federation,2814,"Ammonia, anhydrous or solution",232312790.36,876714.66,Export
2023,392,Japan,842,USA,2814,"Ammonia, anhydrous or solution",203053630.81,194737.06,Import
2023,392,Japan,842,USA,2814,"Ammonia, anhydrous or solution",288590242.95,364918.58,Export
2024,392,Japan,392,Japan,2814,"Ammonia, anhydrous or solution",183241579.3,833367.26,Import
2024,392,Japan,156,China,2814,"Ammonia, anhydrous or solution",264657384.16,204201.3,Export
2018,156,China,643,Russian Federation,2814,"Ammonia, anhydrous or solution",318237034.33,945579.98,Import
2018,156,China,156,China,2814,"Ammonia, anhydrous or solution",269099062.74,422986.04,Export
2019,156,China,842,USA,2814,"Ammonia, anhydrous or solution",358418820.69,794631.49,Import
2019,156,China,392,Japan,2814,"Ammonia, anhydrous or solution",374824086.81,171419.65,Export
2020,156,China,392,Japan,2814,"Ammonia, anhydrous or solution",342402798.11,575867.4,Import
2020,156,China,643,Russian Federation,2814,"Ammonia, anhydrous or solution",346128789.36,87247.03,Export
2021,156,China,156,China,2814,"Ammonia, anhydrous or solution",442095075.71,477924.3,Import
2021,156,China,842,USA,2814,"Ammonia, anhydrous or solution",359907458.39,1248406.99,Export
2022,156,China,156,China,2814,"Ammonia, anhydrous or solution",184316482.08,356360.8,Import
2022,156,China,392,Japan,2814,"Ammonia, anhydrous or solution",448718533.82,1074549.53,Export
2023,156,China,392,Japan,2814,"Ammonia, anhydrous or solution",334920988.32,1634831.55,Import
2023,156,China,392,Japan,2814,"Ammonia, anhydrous or solution",446135096.65,399731.74,Export
2024,156,China,392,Japan,2814,"Ammonia, anhydrous or solution",444458078.11,849276.58,Import
2024,156,China,276,Germany,2814,"Ammonia, anhydrous or solution",444728445.82,1929971.6,Export
2018,699,India,276,Germany,2814,"Ammonia, anhydrous or solution",146787568.9,336169.55,Import
2018,699,India,156,China,2814,"Ammonia, anhydrous or solution",85414681.46,363496.06,Export
2019,699,India,392,Japan,2814,"Ammonia, anhydrous or solution",124118418.37,560164.4,Import
2019,699,India,276,Germany,2814,"Ammonia, anhydrous or solution",159297517.83,646579.77,Export
2020,699,India,276,Germany,2814,"Ammonia, anhydrous or solution",79015359.84,60118.81,Import
2020,699,India,842,USA,2814,"Ammonia, anhydrous or solution",90531860.02,349688.16,Export
2021,699,India,842,USA,2814,"Ammonia, anhydrous or solution",127312999.2,449747.56,Import
2021,699,India,643,Russian Federation,2814,"Ammonia, anhydrous or solution",147350941.86,185680.98,Export
2022,699,India,842,USA,2814,"Ammonia, anhydrous or solution",82925178.81,406925.01,Import
2022,699,India,0,World,2814,"Ammonia, anhydrous or solution",197116753.56,389719.27,Export
2023,699,India,0,World,2814,"Ammonia, anhydrous or solution",98922704.36,35101.16,Import
2023,699,India,643,Russian Federation,2814,"Ammonia, anhydrous or solution",136927375.95,466109.82,Export
2024,699,India,156,China,2814,"Ammonia, anhydrous or solution",122096852.43,544289.66,Import
2024,699,India,156,China,2814,"Ammonia, anhydrous or solution",174471298.19,747346.26,Export
2018,410,South Korea,842,USA,2814,"Ammonia, anhydrous or solution",108504951.86,141875.4,Import
2018,410,South Korea,0,World,2814,"Ammonia, anhydrous or solution",157424118.89,358953.3,Export
2019,410,South Korea,276,Germany,2814,"Ammonia, anhydrous or solution",164689998.52,145977.67,Import
2019,410,South Korea,156,China,2814,"Ammonia, anhydrous or solution",179039835.43,746125.7,Export
2020,410,South Korea,276,Germany,2814,"Ammonia, anhydrous or solution",150796676.29,345259.38,Import
2020,410,South Korea,0,World,2814,"Ammonia, anhydrous or solution",102212752.15,174944.14,Export
2021,410,South Korea,156,China,2814,"Ammonia, anhydrous or solution",127720013.66,453758.67,Import
2021,410,South Korea,0,World,2814,"Ammonia, anhydrous or solution",147686696.78,512744.35,Export
2022,410,South Korea,643,Russian Federation,2814,"Ammonia, anhydrous or solution",75129785.4,335811.62,Import
2022,410,South Korea,804,Ukraine,2814,"Ammonia, anhydrous or solution",153308143.81,59423.4,Export
2023,410,South Korea,842,USA,2814,"Ammonia, anhydrous or solution",126798761.71,467682.19,Import
2023,410,South Korea,804,Ukraine,2814,"Ammonia, anhydrous or solution",135962205.26,268837.93,Export
2024,410,South Korea,643,Russian Federation,2814,"Ammonia, anhydrous or solution",211543648.89,710635.01,Import
2024,410,South Korea,0,World,2814,"Ammonia, anhydrous or solution",135008944.17,384452.1,Export
2018,842,USA,156,China,2804,"Hydrogen, noble gases, other nonmetals",223483860.51,428447.08,Import
2018,842,USA,842,USA,2804,"Hydrogen, noble gases, other nonmetals",145975598.0,202343.3,Export
2019,842,USA,842,USA,2804,"Hydrogen, noble gases, other nonmetals",261743747.56,202131.93,Import
2019,842,USA,276,Germany,2804,"Hydrogen, noble gases, other nonmetals",185480370.7,639939.83,Export
2020,842,USA,842,USA,2804,"Hydrogen, noble gases, other nonmetals",213560822.94,874992.46,Import
2020,842,USA,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",177054099.81,105987.65,Export
2021,842,USA,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",248329327.9,146703.88,Import
2021,842,USA,156,China,2804,"Hydrogen, noble gases, other nonmetals",207446325.73,272563.73,Export
2022,842,USA,0,World,2804,"Hydrogen, noble gases, other nonmetals",156141308.74,330545.47,Import
2022,842,USA,842,USA,2804,"Hydrogen, noble gases, other nonmetals",192382606.22,752065.97,Export
2023,842,USA,276,Germany,2804,"Hydrogen, noble gases, other nonmetals",175793838.98,689087.7,Import
2023,842,USA,0,World,2804,"Hydrogen, noble gases, other nonmetals",253611245.9,1051967.14,Export
2024,842,USA,156,China,2804,"Hydrogen, noble gases, other nonmetals",236270606.72,215974.21,Import
2024,842,USA,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",228102925.87,1109093.9,Export
2018,276,Germany,0,World,2804,"Hydrogen, noble gases, other nonmetals",128795822.62,83171.99,Import
2018,276,Germany,0,World,2804,"Hydrogen, noble gases, other nonmetals",109465511.18,392913.76,Export
2019,276,Germany,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",126493566.98,225726.49,Import
2019,276,Germany,0,World,2804,"Hydrogen, noble gases, other nonmetals",105904093.99,231475.28,Export
2020,276,Germany,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",72062924.35,239651.86,Import
2020,276,Germany,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",72804238.08,189010.02,Export
2021,276,Germany,842,USA,2804,"Hydrogen, noble gases, other nonmetals",153224679.19,26527.3,Import
2021,276,Germany,276,Germany,2804,"Hydrogen, noble gases, other nonmetals",120321871.26,244248.14,Export
2022,276,Germany,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",86473751.14,170355.49,Import
2022,276,Germany,842,USA,2804,"Hydrogen, noble gases, other nonmetals",75334750.69,369273.66,Export
2023,276,Germany,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",175660187.56,466248.11,Import
2023,276,Germany,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",106409491.85,365267.06,Export
2024,276,Germany,842,USA,2804,"Hydrogen, noble gases, other nonmetals",160859581.22,216296.44,Import
2024,276,Germany,804,Ukraine,2804,"Hydrogen, noble gases, other nonmetals",162124703.94,780195.39,Export
2018,392,Japan,804,Ukraine,2804,"Hydrogen, noble gases, other nonmetals",108795327.52,162067.73,Import
2018,392,Japan,156,China,2804,"Hydrogen, noble gases, other nonmetals",145916402.37,35118.44,Export
2019,392,Japan,276,Germany,2804,"Hydrogen, noble gases, other nonmetals",177483338.4,588595.09,Import
2019,392,Japan,804,Ukraine,2804,"Hydrogen, noble gases, other nonmetals",139992622.41,258035.92,Export
2020,392,Japan,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",130312254.35,193481.53,Import
2020,392,Japan,842,USA,2804,"Hydrogen, noble gases, other nonmetals",144201462.75,113913.79,Export
2021,392,Japan,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",124915162.22,577552.63,Import
2021,392,Japan,842,USA,2804,"Hydrogen, noble gases, other nonmetals",132377770.47,70557.96,Export
2022,392,Japan,804,Ukraine,2804,"Hydrogen, noble gases, other nonmetals",130592050.43,616011.16,Import
2022,392,Japan,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",111317646.17,426866.01,Export
2023,392,Japan,0,World,2804,"Hydrogen, noble gases, other nonmetals",161969295.77,641318.59,Import
2023,392,Japan,643,Russian Federation,2804,"Hydrogen, noble gases, other nonmetals",155799948.61,392944.7,Export
2024,392,Japan,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",176274669.96,396728.28,Import
2024,392,Japan,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",201997303.25,200659.08,Export
2018,156,China,0,World,2804,"Hydrogen, noble gases, other nonmetals",180712907.21,847410.58,Import
2018,156,China,276,Germany,2804,"Hydrogen, noble gases, other nonmetals",232356026.25,180263.92,Export
2019,156,China,0,World,2804,"Hydrogen, noble gases, other nonmetals",235891528.02,41682.08,Import
2019,156,China,276,Germany,2804,"Hydrogen, noble gases, other nonmetals",193833354.71,582079.33,Export
2020,156,China,392,Japan,2804,"Hydrogen, noble gases, other nonmetals",188006652.88,738176.24,Import
